playerid,playername,position
a53d77e7-e869-4951-80e4-b3d00159ab1e,AJ Lam,Midfielder
a7e899cf-56f8-4c37-8a8e-b3d0015eb15d,Adam Lennox,Half Back
b5da03c4-4a06-4f22-896b-b3d00166ccfe,Agustin Moyano,Half Back
32edf819-abf2-484e-bda0-b3d00166ce1c,Aisake Vakasiuola,Lock
63ad977e-1979-4b32-b73d-b3d00166cf5b,Aisea Nawai,Outside Back
1789b041-7bf5-4674-9aa1-b3d00166ca8a,Aki Tuivailala,Outside Back
d28b13d7-29b9-4a47-a72b-b3d00166d087,Ale Aho,Lock
a81cccc1-8ded-4993-8f2c-b3d0016aa8e7,Alex Harford,Fly Half
9cdeaad6-8a3b-4c6c-9f3c-b3d0015e8ab1,Allan Craig,Lock
666a35c6-12e2-4b68-bddf-b3d00159ea90,Andrew Kellaway,Outside Back
9e2cdd11-a2b5-414d-a2ab-b3d00166d1ca,Andrew Knewstubb,Fly Half
eb10e1e2-ac35-49a7-bb8a-b3d001599b8e,Andy Muirhead,Outside Back
a64d2bb5-2a95-4355-a6a7-b3d00166d2f2,Angelo Smith,Lock
96208bff-1206-4d16-9f18-b3d0015e6b1f,Angus Blyth,Lock
9317f2bc-9cf3-4c81-aa03-b3ee010600d8,Angus Scott-Young,Loose Forward
ebbe90fd-6f21-4f80-95ff-b3d0015e4295,Anton Segner,Loose Forward
0bc15f36-c437-4489-83d1-b3d0015e4c0d,Antonio Shalfoon,Lock
9ab34168-e91d-4ac4-9a02-b3d0015eb64a,Archie Saunders,Outside Back
0543c74a-d271-4cc5-ad9b-b3d00166d485,Arese Poliko,Loose Forward
08853aa9-9aac-4d41-a479-b3d00166d5d2,Augustine Pulu,Half Back
ef857969-64d1-485f-9788-b3d00166bacf,Austin Anderson,Midfielder
e8601da3-42ec-468f-a17f-b3d00166d6f4,Austin Durbidge,Loose Forward
66582f9e-9d31-4a4d-870e-b3d00159b38f,Bailyn Sullivan,Outside Back
fdc0c0b5-03d6-4c14-a488-b3d0015e6d5b,Bayley Kuenzle,Midfielder
6ceabc9a-6dda-4d5c-9c2f-b3d001598f9e,Beauden Barrett,Fly Half
212fc672-a8b3-4ba6-bc7b-b3d00159a181,Ben Donaldson,Fly Half
02141c0b-66cc-4ffe-83b0-b3d0015e6c4b,Ben Grant,Lock
9dd51672-f562-4807-89c8-b3d00166d89f,Ben Volavola,Fly Half
845173da-30fa-417a-9aa0-b3d00159c1e5,Billy Proctor,Midfielder
