source_season_year,source_playerid,source_name,position,canonical_playerid,notes
2022,013e366e-8e42-4d2c-891d-ae31010ea701,Tomasi Alosio,Outside Back,,
2022,01af254e-e212-437a-ae09-ae31010ea8d1,Mike McKee,Lock,,
2022,02dacb28-e165-4325-8728-ae3100fb1ebd,Noah Lolesio,Fly Half,,
2022,03aa5b35-42e5-423c-b8cd-ae31010d6265,James Arscott,Half Back,,
2022,044e2910-f882-45b8-bc9e-ae31010e95bc,Napolioni Bolaca,Outside Back,,
2022,049866b4-2d1f-43ad-9a40-ae31010d380a,Manaaki Selby-Rickit,Lock,,
2022,05afb2fb-f83c-431e-a2ab-ae3101019e24,Wes Goosen,Outside Back,,
2022,05c10399-2ea3-439f-ada8-ae4400b076ac,Sam Wallis,Loose Forward,,
2022,05ef4fce-95b1-4cb6-8b5f-ae31010e76ae,Tim Anstee,Loose Forward,,
2022,078c0ec9-2861-4bc9-9c6b-ae31010e9ca4,Rusiate Nasove,Loose Forward,,
2022,07b83aea-52a4-44b4-84f1-ae31010eb3a3,Don Lolo,Lock,,
2022,08e2a0d7-9154-40ef-8407-ae4400b07f63,Selestino Ravutaumada,Outside Back,,
2022,094bfb5c-24da-4cf3-a614-ae310101ed97,Sitaleki Timani,Lock,,
2022,0999e350-040e-4531-9210-ae31010d58ba,Lolagi Visinia,Outside Back,,
2022,0c163e16-ff3e-4963-81d5-ae31010d3f59,Rameka Poihipi,Midfielder,,
2022,0ecbd088-1289-41ee-8a43-ae310102004e,Hugh Sinclair,Loose Forward,,
2022,0f2d5416-1907-4ebc-a365-ae310101b715,Alex Nankivell,Midfielder,,
2022,0f592bb8-b2d5-45ec-9254-ae310101f8c3,James Lentjes,Loose Forward,,
2022,169580b3-2088-4f89-906a-ae31010d70dc,Jesse Mogg,Outside Back,,
2022,16d27d5f-deed-4a76-b09a-ae31010d998b,Rahboni Warren-Vosayaco,Loose Forward,,
2022,1a4bf5bd-eec6-4dc4-8652-ae310101b8d7,Sio Tomkinson,Midfielder,,
2022,1c668af4-702b-4b18-a578-ae31010d8720,Samuel Fischli,Loose Forward,,
2022,1d166d68-2b01-46d8-8968-ae6e007a9da8,Mahroni Ngakuru,Lock,,
2022,1de4e0ed-7735-4f86-ada7-ae310101e9a7,Josh Dickson,Lock,,
2022,1f11296a-0df2-4b7c-8b69-ae31010e94f3,Peni Matawalu,Half Back,,
2022,1f4896c6-4017-43af-9dc8-ae3101018708,Anton Lienert-Brown,Midfielder,,
2022,1f649b87-3f82-4ee6-ad9c-ae31010e6ee6,Kyle Godwin,Midfielder,,
2022,21c903cc-dba4-4ba8-a7c4-ae75008ea90b,William Sankey,Lock,,
2022,21f5d246-d173-46a0-8548-ae31010d2dc9,Thomas Umaga-Jensen,Midfielder,,
2022,21fa1030-d0e1-4b47-ba81-ae31010e8bbd,Viliame Rarasea,Lock,,
2022,234f1de0-08d6-4dbc-bed7-ae310101ef55,Rob Leota,Lock,,
2022,23d70797-46b2-4bb3-b678-ae3100fb19e2,Richie Mo'unga,Fly Half,,
2022,25bcace8-e454-46bf-8e43-ae310101fa06,Sam Caird,Lock,,
2022,274d4081-7608-4fc2-8fc3-ae31010d42f4,Tom Hooper,Lock,,
2022,2892d227-e940-4340-b872-ae310101a9a9,Shaun Stevenson,Outside Back,,
2022,28fbfedb-25fc-4f20-93fd-ae31010d44ee,Brad Wilkin,Loose Forward,,
2022,2951e34b-943f-4a38-859f-ae31010d6d79,Cameron Suafoa,Loose Forward,,
2022,2ab6ff53-c951-4019-83dc-ae4400b08188,Kitione Ratu,Outside Back,,
2022,2af58bb5-f7c6-4e33-a620-ae31010d88f9,Max Hicks,Lock,,
2022,2b9878fa-510a-4703-87cd-ae310101cbfe,Bryn Gatland,Fly Half,,
2022,2ce6da14-cc7a-4077-9374-ae4400b071e9,Geoff Cridge,Lock,,
2022,2d481a8a-1629-4569-bd43-ae31010d9705,Jed Holloway,Lock,,
2022,2d9e47fc-9c94-4be0-8816-ae310101b0df,Izaia Perese,Midfielder,,
2022,2dbc158b-bdd7-4546-9a28-ae31010d8615,Mosese Dawai,Outside Back,,
2022,2df907d3-4f26-436a-81f6-ae520093fe3d,Logan Henry,Half Back,,
2022,2e018dc5-3ca4-4785-9b36-ae31010eacae,Samuel Slade,Loose Forward,,
2022,2ea1b347-20fa-4e30-bb7d-ae31010d9ca8,Mosese Tuipulotu,Midfielder,,
2022,30f80c36-a56d-455c-8a66-ae600089fccc,Hamilton Burr,Loose Forward,,
2022,3168d264-906a-4043-bf5b-ae31010ea1ee,Leone Nawai,Half Back,,
2022,31a62b93-d424-4274-a3b8-ae31010e74e3,Izack Rodda,Lock,,
2022,31b0cb7f-e0d2-4455-a2c9-ae31010d53e4,Kayne Hammington,Half Back,,
2022,31b143d0-73de-4256-bf18-ae4400b067c0,Vereniki Tikoisolomone,Outside Back,,
2022,32056b2b-8ee4-47c4-b180-ae310101a53a,Shannon Frizell,Loose Forward,,
2022,32d71f2e-f58a-41f4-9f05-ae31010d6b7a,Tamati Tua,Midfielder,,
